id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_105B_Eftermiddag,2015-02-27,16:37:31,1425051451457,5,516458,1,33,95,128,6944,1
SI_105B_Eftermiddag,2015-02-27,16:37:38,1425051451457,5,523586,2,66,90,156,7128,1
SI_105B_Eftermiddag,2015-02-27,16:37:45,1425051451457,5,532215,3,65,55,120,8629,1
SI_105B_Eftermiddag,2015-02-27,16:37:54,1425051451457,5,543312,4,94,25,119,11097,1
SI_105B_Eftermiddag,2015-02-27,16:38:05,1425051451457,5,551650,5,12,75,87,8338,1
SI_105B_Eftermiddag,2015-02-27,16:38:13,1425051451457,5,562126,6,89,64,153,10476,1
SI_105B_Eftermiddag,2015-02-27,16:38:24,1425051451457,5,567923,7,13,22,35,5797,1
SI_105B_Eftermiddag,2015-02-27,16:38:29,1425051451457,5,590725,8,57,46,103,22802,1
SI_105B_Eftermiddag,2015-02-27,16:38:52,1425051451457,5,608029,9,54,93,137,17303,0
SI_105B_Eftermiddag,2015-02-27,16:39:09,1425051451457,5,616292,10,41,94,135,8263,1
SI_105B_Eftermiddag,2015-02-27,16:39:18,1425051451457,5,628547,11,88,83,171,12255,1
SI_105B_Eftermiddag,2015-02-27,16:39:30,1425051451457,5,629512,12,26,45,,965,0
