id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_105B_Lunch,2015-02-27,12:39:33,1425037173238,5,578924,1,35,39,73,9833,0
SI_105B_Lunch,2015-02-27,12:39:43,1425037173238,5,583063,2,31,56,77,4138,0
SI_105B_Lunch,2015-02-27,12:39:47,1425037173238,5,595206,3,81,29,110,12143,1
SI_105B_Lunch,2015-02-27,12:39:59,1425037173238,5,607704,4,18,81,99,12498,1
SI_105B_Lunch,2015-02-27,12:40:11,1425037173238,5,614468,5,30,94,124,6764,1
SI_105B_Lunch,2015-02-27,12:40:18,1425037173238,5,617698,6,60,14,74,3230,1
SI_105B_Lunch,2015-02-27,12:40:21,1425037173238,5,630160,7,56,63,119,12461,1
SI_105B_Lunch,2015-02-27,12:40:34,1425037173238,5,638286,8,45,81,126,8126,1
SI_105B_Lunch,2015-02-27,12:40:42,1425037173238,5,652252,9,89,24,113,13966,1
SI_105B_Lunch,2015-02-27,12:40:56,1425037173238,5,670795,10,67,66,133,18543,1
SI_105B_Lunch,2015-02-27,12:41:14,1425037173238,5,680231,11,33,64,97,9435,1
SI_105B_Lunch,2015-02-27,12:41:24,1425037173238,5,689089,12,91,70,,8858,0
