id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_106_3,2015-02-27,12:35:09,1425036909996,1,14434,1,67,71,138,8687,1
SI_106_3,2015-02-27,12:35:18,1425036909996,1,18750,2,64,70,14,4316,0
SI_106_3,2015-02-27,12:35:22,1425036909996,1,24681,3,23,13,36,5931,1
SI_106_3,2015-02-27,12:35:28,1425036909996,1,31280,4,95,20,115,6599,1
SI_106_3,2015-02-27,12:35:35,1425036909996,1,37098,5,72,60,132,5818,1
SI_106_3,2015-02-27,12:35:41,1425036909996,1,40731,6,90,64,154,3633,1
SI_106_3,2015-02-27,12:35:44,1425036909996,1,45430,7,39,33,14,4699,0
SI_106_3,2015-02-27,12:35:49,1425036909996,1,51015,8,75,19,94,5585,1
SI_106_3,2015-02-27,12:35:55,1425036909996,1,57148,9,16,78,94,6133,1
SI_106_3,2015-02-27,12:36:01,1425036909996,1,62771,10,43,24,67,5623,1
SI_106_3,2015-02-27,12:36:07,1425036909996,1,66615,11,16,83,99,3844,1
SI_106_3,2015-02-27,12:36:10,1425036909996,1,69331,12,25,31,56,2716,1
SI_106_3,2015-02-27,12:36:13,1425036909996,1,76048,13,85,27,112,6717,1
SI_106_3,2015-02-27,12:36:20,1425036909996,1,83382,14,93,72,165,7334,1
SI_106_3,2015-02-27,12:36:27,1425036909996,1,86181,15,51,18,69,2799,1
SI_106_3,2015-02-27,12:36:30,1425036909996,1,93331,16,56,61,117,7150,1
SI_106_3,2015-02-27,12:36:37,1425036909996,1,95514,17,11,45,56,2183,1
SI_106_3,2015-02-27,12:36:39,1425036909996,1,100572,18,91,99,190,5058,1
SI_106_3,2015-02-27,12:36:44,1425036909996,1,109831,19,58,75,143,9258,0
SI_106_3,2015-02-27,12:36:54,1425036909996,1,116864,20,27,56,83,7033,1
SI_106_3,2015-02-27,12:37:01,1425036909996,1,119697,21,63,23,85,2833,0
SI_106_3,2015-02-27,12:37:03,1425036909996,1,125235,22,97,82,179,5538,1
SI_106_3,2015-02-27,12:37:09,1425036909996,1,125751,23,62,22,,515,0
