id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_108B_Morgon,2015-03-02,16:50:07,1425311407220,1,10112,1,72,82,154,4424,1
SI_108B_Morgon,2015-03-02,16:50:11,1425311407220,1,14993,2,77,52,129,4878,1
SI_108B_Morgon,2015-03-02,16:50:16,1425311407220,1,19637,3,18,68,86,4642,1
SI_108B_Morgon,2015-03-02,16:50:21,1425311407220,1,23958,4,48,44,92,4320,1
SI_108B_Morgon,2015-03-02,16:50:25,1425311407220,1,28578,5,43,87,130,4618,1
SI_108B_Morgon,2015-03-02,16:50:30,1425311407220,1,32862,6,28,85,113,4283,1
SI_108B_Morgon,2015-03-02,16:50:34,1425311407220,1,36263,7,62,81,143,3400,1
SI_108B_Morgon,2015-03-02,16:50:37,1425311407220,1,38933,8,41,44,85,2669,1
SI_108B_Morgon,2015-03-02,16:50:40,1425311407220,1,42811,9,65,21,86,3877,1
SI_108B_Morgon,2015-03-02,16:50:44,1425311407220,1,45610,10,23,18,41,2797,1
SI_108B_Morgon,2015-03-02,16:50:47,1425311407220,1,47680,11,35,31,66,2068,1
SI_108B_Morgon,2015-03-02,16:50:49,1425311407220,1,52541,12,73,84,157,4861,1
SI_108B_Morgon,2015-03-02,16:50:54,1425311407220,1,57286,13,71,40,111,4740,1
SI_108B_Morgon,2015-03-02,16:50:58,1425311407220,1,61689,14,69,80,149,4401,1
SI_108B_Morgon,2015-03-02,16:51:03,1425311407220,1,65207,15,43,64,107,3513,1
SI_108B_Morgon,2015-03-02,16:51:06,1425311407220,1,67864,16,23,64,87,2656,1
SI_108B_Morgon,2015-03-02,16:51:09,1425311407220,1,70115,17,35,60,95,2247,1
SI_108B_Morgon,2015-03-02,16:51:11,1425311407220,1,74148,18,29,78,107,4032,1
SI_108B_Morgon,2015-03-02,16:51:15,1425311407220,1,77479,19,11,82,93,3330,1
SI_108B_Morgon,2015-03-02,16:51:19,1425311407220,1,80390,20,70,84,154,2907,1
SI_108B_Morgon,2015-03-02,16:51:21,1425311407220,1,85031,21,81,22,103,4639,1
SI_108B_Morgon,2015-03-02,16:51:26,1425311407220,1,92739,22,96,19,115,7706,1
SI_108B_Morgon,2015-03-02,16:51:34,1425311407220,1,103080,23,76,43,119,10337,1
SI_108B_Morgon,2015-03-02,16:51:44,1425311407220,1,109889,24,99,77,176,6805,1
SI_108B_Morgon,2015-03-02,16:51:51,1425311407220,1,115433,25,20,96,116,5539,1
SI_108B_Morgon,2015-03-02,16:51:56,1425311407220,1,124674,26,30,85,115,9240,1
SI_108B_Morgon,2015-03-02,16:52:06,1425311407220,1,125681,27,76,57,,1006,0
