id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_110_Morgon,2015-03-11,16:46:23,1426088783405,1,10404,1,55,19,74,4628,1
SI_110_Morgon,2015-03-11,16:46:28,1426088783405,1,13286,2,70,30,100,2880,1
SI_110_Morgon,2015-03-11,16:46:30,1426088783405,1,17253,3,59,21,80,3965,1
SI_110_Morgon,2015-03-11,16:46:34,1426088783405,1,22080,4,67,72,139,4826,1
SI_110_Morgon,2015-03-11,16:46:39,1426088783405,1,28076,5,59,92,171,5995,0
SI_110_Morgon,2015-03-11,16:46:45,1426088783405,1,32565,6,65,84,149,4488,1
SI_110_Morgon,2015-03-11,16:46:50,1426088783405,1,38750,7,98,36,134,6183,1
SI_110_Morgon,2015-03-11,16:46:56,1426088783405,1,41808,8,60,64,124,3056,1
SI_110_Morgon,2015-03-11,16:46:59,1426088783405,1,46177,9,51,29,80,4368,1
SI_110_Morgon,2015-03-11,16:47:03,1426088783405,1,50757,10,71,66,137,4579,1
SI_110_Morgon,2015-03-11,16:47:08,1426088783405,1,54092,11,17,80,97,3334,1
SI_110_Morgon,2015-03-11,16:47:11,1426088783405,1,63600,12,82,69,149,9507,0
SI_110_Morgon,2015-03-11,16:47:21,1426088783405,1,67077,13,32,64,96,3472,1
SI_110_Morgon,2015-03-11,16:47:24,1426088783405,1,74534,14,61,79,140,7457,1
SI_110_Morgon,2015-03-11,16:47:32,1426088783405,1,79662,15,68,19,87,5128,1
SI_110_Morgon,2015-03-11,16:47:37,1426088783405,1,84620,16,46,93,139,4957,1
SI_110_Morgon,2015-03-11,16:47:42,1426088783405,1,88544,17,26,46,72,3924,1
SI_110_Morgon,2015-03-11,16:47:46,1426088783405,1,95752,18,92,87,179,7207,1
SI_110_Morgon,2015-03-11,16:47:53,1426088783405,1,99704,19,67,48,115,3951,1
SI_110_Morgon,2015-03-11,16:47:57,1426088783405,1,102076,20,22,22,44,2371,1
SI_110_Morgon,2015-03-11,16:47:59,1426088783405,1,112962,21,84,94,178,10885,1
SI_110_Morgon,2015-03-11,16:48:10,1426088783405,1,115877,22,22,27,49,2914,1
SI_110_Morgon,2015-03-11,16:48:13,1426088783405,1,120030,23,35,12,45,4146,0
SI_110_Morgon,2015-03-11,16:48:17,1426088783405,1,125155,24,78,94,172,5124,1
SI_110_Morgon,2015-03-11,16:48:22,1426088783405,1,125775,25,85,80,,619,0
