id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_185,2015-10-07,16:56:01,1444229761728,5,531442,1,80,28,108,4204,1
SI_185,2015-10-07,16:56:05,1444229761728,5,540663,2,57,36,93,9220,1
SI_185,2015-10-07,16:56:15,1444229761728,5,548161,3,93,81,174,7497,1
SI_185,2015-10-07,16:56:22,1444229761728,5,555293,4,25,62,87,7131,1
SI_185,2015-10-07,16:56:29,1444229761728,5,558701,5,21,61,82,3408,1
SI_185,2015-10-07,16:56:33,1444229761728,5,563925,6,31,39,70,5223,1
SI_185,2015-10-07,16:56:38,1444229761728,5,569675,7,38,58,96,5750,1
SI_185,2015-10-07,16:56:44,1444229761728,5,576702,8,49,35,84,7026,1
SI_185,2015-10-07,16:56:51,1444229761728,5,580651,9,30,34,64,3948,1
SI_185,2015-10-07,16:56:55,1444229761728,5,584394,10,58,11,69,3742,1
SI_185,2015-10-07,16:56:58,1444229761728,5,591485,11,97,17,114,7090,1
SI_185,2015-10-07,16:57:05,1444229761728,5,600068,12,66,81,147,8582,1
SI_185,2015-10-07,16:57:14,1444229761728,5,604670,13,42,82,124,4601,1
SI_185,2015-10-07,16:57:19,1444229761728,5,611886,14,71,58,128,7215,0
SI_185,2015-10-07,16:57:26,1444229761728,5,616229,15,53,31,84,4343,1
SI_185,2015-10-07,16:57:30,1444229761728,5,622086,16,63,84,147,5856,1
SI_185,2015-10-07,16:57:36,1444229761728,5,628562,17,79,14,93,6475,1
SI_185,2015-10-07,16:57:43,1444229761728,5,640429,18,68,96,164,11866,1
SI_185,2015-10-07,16:57:54,1444229761728,5,645805,19,33,86,119,5375,1
SI_185,2015-10-07,16:58:00,1444229761728,5,647238,20,31,42,,1433,0
