id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_282,2016-04-09,14:37:42,,,2,150604,1,16,65,81,4831,1
SI_282,2016-04-09,14:37:47,,,2,157244,2,18,77,95,6639,1
SI_282,2016-04-09,14:37:53,,,2,162385,3,78,34,112,5140,1
SI_282,2016-04-09,14:37:59,,,2,173940,4,65,92,157,11555,1
SI_282,2016-04-09,14:38:10,,,2,177506,5,83,31,114,3566,1
SI_282,2016-04-09,14:38:14,,,2,183716,6,91,26,117,6210,1
SI_282,2016-04-09,14:38:20,,,2,188209,7,13,85,98,4493,1
SI_282,2016-04-09,14:38:24,,,2,196939,8,85,91,176,8730,1
SI_282,2016-04-09,14:38:33,,,2,202548,9,47,72,119,5608,1
SI_282,2016-04-09,14:38:39,,,2,207530,10,91,69,160,4982,1
SI_282,2016-04-09,14:38:44,,,2,217448,11,68,39,107,9918,1
SI_282,2016-04-09,14:38:54,,,2,227688,12,39,85,124,10240,1
SI_282,2016-04-09,14:39:04,,,2,234828,13,91,55,145,7140,0
SI_282,2016-04-09,14:39:11,,,2,247786,14,97,61,158,12958,1
SI_282,2016-04-09,14:39:24,,,2,253312,15,11,47,58,5526,1
SI_282,2016-04-09,14:39:29,,,2,262579,16,69,89,158,9267,1
SI_282,2016-04-09,14:39:39,,,2,264653,17,20,29,49,2074,1
SI_282,2016-04-09,14:39:41,,,2,265769,18,91,46,,1116,0
