id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_164_res,2015-06-09,17:01:45,1433862105153,2,157036,1,96,47,143,6224,1
Sl_164_res,2015-06-09,17:01:51,1433862105153,2,160380,2,22,23,45,3344,1
Sl_164_res,2015-06-09,17:01:54,1433862105153,2,164452,3,25,96,111,4072,0
Sl_164_res,2015-06-09,17:01:58,1433862105153,2,169099,4,30,73,103,4647,1
Sl_164_res,2015-06-09,17:02:03,1433862105153,2,173291,5,78,16,94,4192,1
Sl_164_res,2015-06-09,17:02:07,1433862105153,2,176331,6,40,41,81,3040,1
Sl_164_res,2015-06-09,17:02:10,1433862105153,2,180315,7,91,85,176,3984,1
Sl_164_res,2015-06-09,17:02:14,1433862105153,2,183316,8,84,60,144,3001,1
Sl_164_res,2015-06-09,17:02:17,1433862105153,2,189844,9,80,37,117,6528,1
Sl_164_res,2015-06-09,17:02:24,1433862105153,2,194699,10,62,36,98,4855,1
Sl_164_res,2015-06-09,17:02:29,1433862105153,2,200404,11,75,65,140,5705,1
Sl_164_res,2015-06-09,17:02:34,1433862105153,2,204995,12,71,56,127,4591,1
Sl_164_res,2015-06-09,17:02:39,1433862105153,2,210810,13,86,79,185,5814,0
Sl_164_res,2015-06-09,17:02:45,1433862105153,2,216851,14,19,82,101,6040,1
Sl_164_res,2015-06-09,17:02:51,1433862105153,2,223898,15,14,99,113,7046,1
Sl_164_res,2015-06-09,17:02:58,1433862105153,2,229153,16,42,65,107,5255,1
Sl_164_res,2015-06-09,17:03:03,1433862105153,2,231706,17,60,13,73,2552,1
Sl_164_res,2015-06-09,17:03:06,1433862105153,2,239242,18,67,66,133,7536,1
Sl_164_res,2015-06-09,17:03:13,1433862105153,2,243994,19,13,70,83,4751,1
Sl_164_res,2015-06-09,17:03:18,1433862105153,2,251017,20,71,48,119,7023,1
Sl_164_res,2015-06-09,17:03:25,1433862105153,2,257289,21,96,88,184,6272,1
Sl_164_res,2015-06-09,17:03:31,1433862105153,2,262490,22,96,77,173,5201,1
Sl_164_res,2015-06-09,17:03:36,1433862105153,2,267353,23,47,15,62,4863,1
Sl_164_res,2015-06-09,17:03:41,1433862105153,2,270812,24,64,19,,3459,0
