id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_203,2015-10-27,16:36:31,1445960191454,3,298406,1,79,34,113,4368,1
Sl_203,2015-10-27,16:36:35,1445960191454,3,303140,2,39,38,77,4733,1
Sl_203,2015-10-27,16:36:40,1445960191454,3,309071,3,56,75,131,5931,1
Sl_203,2015-10-27,16:36:46,1445960191454,3,312648,4,18,50,68,3577,1
Sl_203,2015-10-27,16:36:50,1445960191454,3,317659,5,62,57,119,5011,1
Sl_203,2015-10-27,16:36:55,1445960191454,3,322424,6,61,98,159,4765,1
Sl_203,2015-10-27,16:36:59,1445960191454,3,331358,7,79,57,136,8934,1
Sl_203,2015-10-27,16:37:08,1445960191454,3,337796,8,45,46,91,6438,1
Sl_203,2015-10-27,16:37:15,1445960191454,3,340443,9,25,30,55,2647,1
Sl_203,2015-10-27,16:37:17,1445960191454,3,348913,10,96,33,129,8470,1
Sl_203,2015-10-27,16:37:26,1445960191454,3,354883,11,89,17,106,5970,1
Sl_203,2015-10-27,16:37:32,1445960191454,3,361394,12,18,65,93,6511,0
Sl_203,2015-10-27,16:37:38,1445960191454,3,367398,13,92,76,168,6004,1
Sl_203,2015-10-27,16:37:44,1445960191454,3,370682,14,15,80,95,3284,1
Sl_203,2015-10-27,16:37:48,1445960191454,3,380225,15,47,96,143,9543,1
Sl_203,2015-10-27,16:37:57,1445960191454,3,383779,16,20,53,73,3554,1
Sl_203,2015-10-27,16:38:01,1445960191454,3,390947,17,17,66,83,7168,1
Sl_203,2015-10-27,16:38:08,1445960191454,3,397108,18,49,27,86,6161,0
Sl_203,2015-10-27,16:38:14,1445960191454,3,405150,19,37,46,83,8042,1
Sl_203,2015-10-27,16:38:22,1445960191454,3,411384,20,76,40,116,6234,1
Sl_203,2015-10-27,16:38:28,1445960191454,3,414434,21,67,51,,3050,0
