id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_305,2016-05-21,21:43:11,,,2,164813,1,22,94,116,4978,1
Sl_305,2016-05-21,21:43:16,,,2,172112,2,29,44,73,7299,1
Sl_305,2016-05-21,21:43:23,,,2,177493,3,21,87,108,5381,1
Sl_305,2016-05-21,21:43:29,,,2,182378,4,58,72,110,4884,0
Sl_305,2016-05-21,21:43:33,,,2,189530,5,63,17,80,7152,1
Sl_305,2016-05-21,21:43:41,,,2,204279,6,70,97,167,14749,1
Sl_305,2016-05-21,21:43:55,,,2,209777,7,40,24,64,5498,1
Sl_305,2016-05-21,21:44:01,,,2,216094,8,39,24,63,6317,1
Sl_305,2016-05-21,21:44:07,,,2,219417,9,70,74,144,3323,1
Sl_305,2016-05-21,21:44:11,,,2,225012,10,88,26,114,5594,1
Sl_305,2016-05-21,21:44:16,,,2,231644,11,37,67,104,6632,1
Sl_305,2016-05-21,21:44:23,,,2,235033,12,28,52,80,3389,1
Sl_305,2016-05-21,21:44:26,,,2,239902,13,35,95,130,4869,1
Sl_305,2016-05-21,21:44:31,,,2,247016,14,32,15,47,7114,1
Sl_305,2016-05-21,21:44:38,,,2,257277,15,85,69,154,10261,1
Sl_305,2016-05-21,21:44:48,,,2,264315,16,35,54,89,7038,1
Sl_305,2016-05-21,21:44:55,,,2,269543,17,68,34,102,5228,1
Sl_305,2016-05-21,21:45:01,,,2,274666,18,46,11,57,5122,1
Sl_305,2016-05-21,21:45:06,,,2,279628,19,95,31,126,4962,1
Sl_305,2016-05-21,21:45:11,,,2,279840,20,51,31,,212,0
