id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
298,2016-04-23,14:23:47,,,4,438558,1,p,1,440,,407.482758621,400,67.2296813116
298,2016-04-23,14:23:50,,,4,443323,2,p,1,382,,407.482758621,400,67.2296813116
298,2016-04-23,14:23:55,,,4,446391,3,p,1,361,,407.482758621,400,67.2296813116
298,2016-04-23,14:23:58,,,4,451508,4,p,1,402,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:03,,,4,455458,5,p,1,422,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:07,,,4,460393,6,p,1,351,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:12,,,4,464876,7,p,1,358,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:16,,,4,468676,8,p,1,384,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:20,,,4,472642,9,p,1,321,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:24,,,4,477510,10,p,1,360,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:29,,,4,482160,11,p,1,334,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:33,,,4,486042,12,p,1,317,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:37,,,4,489253,13,p,1,400,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:40,,,4,493411,14,p,1,344,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:45,,,4,496643,15,p,1,437,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:48,,,4,501878,16,p,1,400,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:53,,,4,504745,17,p,1,506,,407.482758621,400,67.2296813116
298,2016-04-23,14:24:56,,,4,508702,18,p,1,346,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:00,,,4,513445,19,p,1,378,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:05,,,4,518229,20,p,1,404,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:09,,,4,520897,21,p,1,498,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:12,,,4,525331,22,p,1,388,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:17,,,4,529715,23,p,1,411,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:21,,,4,534147,24,p,1,428,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:25,,,4,537531,25,p,1,404,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:29,,,4,542364,26,p,1,426,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:34,,,4,546414,27,p,1,446,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:38,,,4,550498,28,p,1,589,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:42,,,4,554232,29,p,1,580,,407.482758621,400,67.2296813116
298,2016-04-23,14:25:45,,,4,556050,30,p,0,,,407.482758621,400,67.2296813116
