id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_105B_Eftermiddag,2015-02-27,16:31:23,1425051083587,2,146943,1,p,1,364,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:28,1425051083587,2,150384,2,p,1,399,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:32,1425051083587,2,155279,3,p,1,418,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:37,1425051083587,2,158208,4,p,1,468,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:40,1425051083587,2,161817,5,p,1,407,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:43,1425051083587,2,166749,6,p,1,364,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:48,1425051083587,2,173988,7,p,1,409,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:56,1425051083587,2,177721,8,p,1,384,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:31:59,1425051083587,2,184332,9,p,1,395,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:32:06,1425051083587,2,190442,10,p,1,405,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:32:12,1425051083587,2,195325,11,p,1,355,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:32:17,1425051083587,2,199222,12,p,1,437,,400.416666667,402,32.1486839355
SI_105B_Eftermiddag,2015-02-27,16:32:21,1425051083587,2,201644,13,p,0,,,400.416666667,402,32.1486839355
