id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_106_Kväll,2015-02-26,22:29:48,1424986188010,1,11777,1,p,1,440,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:29:54,1424986188010,1,16629,2,p,1,398,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:29:59,1424986188010,1,22029,3,p,1,374,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:04,1424986188010,1,25679,4,p,1,384,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:08,1424986188010,1,31962,5,p,1,393,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:14,1424986188010,1,36896,6,p,1,370,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:19,1424986188010,1,40079,7,p,1,368,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:22,1424986188010,1,44329,8,p,1,362,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:26,1424986188010,1,48529,9,p,1,343,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:30,1424986188010,1,51629,10,p,1,358,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:34,1424986188010,1,56813,11,p,1,355,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:39,1424986188010,1,62029,12,p,1,330,,372.916666667,369,28.7448282568
SI_106_Kväll,2015-02-26,22:30:44,1424986188010,1,65667,13,p,0,,,372.916666667,369,28.7448282568
