id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_202,2015-10-16,12:32:59,1444991579619,2,146494,1,p,1,406,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:04,1444991579619,2,149915,2,p,1,435,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:08,1444991579619,2,154915,3,p,1,435,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:13,1444991579619,2,158950,4,p,1,465,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:17,1444991579619,2,162385,5,p,1,380,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:20,1444991579619,2,166818,6,p,1,443,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:24,1444991579619,2,172095,7,p,1,397,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:30,1444991579619,2,176860,8,p,1,447,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:35,1444991579619,2,181616,9,p,1,418,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:39,1444991579619,2,186398,10,p,1,389,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:44,1444991579619,2,189835,11,p,1,457,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:48,1444991579619,2,195141,12,p,1,414,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:53,1444991579619,2,197779,13,p,1,544,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:55,1444991579619,2,201695,14,p,1,409,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:33:59,1444991579619,2,204506,15,p,1,455,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:02,1444991579619,2,207698,16,p,1,410,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:05,1444991579619,2,211236,17,p,1,433,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:09,1444991579619,2,216108,18,p,1,450,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:14,1444991579619,2,218662,19,p,1,484,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:16,1444991579619,2,222782,20,p,1,390,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:20,1444991579619,2,226771,21,p,1,463,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:24,1444991579619,2,229552,22,p,1,424,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:27,1444991579619,2,232964,23,p,1,424,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:31,1444991579619,2,236442,24,p,1,371,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:34,1444991579619,2,241198,25,p,1,435,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:39,1444991579619,2,244489,26,p,1,407,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:42,1444991579619,2,246977,27,p,1,384,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:45,1444991579619,2,250207,28,p,1,373,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:48,1444991579619,2,255186,29,p,1,447,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:53,1444991579619,2,259395,30,p,1,398,,426.233333333,424,36.9264724529
SI_202,2015-10-16,12:34:57,1444991579619,2,261546,31,p,0,,,426.233333333,424,36.9264724529
