id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
Sl_164_res,2015-06-09,17:04:06,1433862246112,3,297120,1,p,1,523,1,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:11,1433862246112,3,302280,2,p,1,406,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:16,1433862246112,3,307000,3,p,1,422,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:21,1433862246112,3,310632,4,p,1,634,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:25,1433862246112,3,314984,5,p,1,430,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:29,1433862246112,3,320183,6,p,1,373,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:34,1433862246112,3,324279,7,p,1,463,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:38,1433862246112,3,329591,8,p,1,568,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:44,1433862246112,3,333423,9,p,1,462,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:47,1433862246112,3,337439,10,p,1,420,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:51,1433862246112,3,340303,11,p,1,555,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:54,1433862246112,3,344719,12,p,1,426,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:04:59,1433862246112,3,349120,13,p,1,1542,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:03,1433862246112,3,351910,14,p,1,553,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:06,1433862246112,3,355615,15,p,1,449,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:10,1433862246112,3,358423,16,p,1,403,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:12,1433862246112,3,362607,17,p,1,394,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:17,1433862246112,3,368055,18,p,1,519,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:22,1433862246112,3,371566,19,p,1,449,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:26,1433862246112,3,375926,20,p,1,480,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:30,1433862246112,3,378574,21,p,1,541,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:33,1433862246112,3,381150,22,p,1,482,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:35,1433862246112,3,385430,23,p,1,452,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:39,1433862246112,3,388863,24,p,1,416,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:43,1433862246112,3,393126,25,p,1,480,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:47,1433862246112,3,397134,26,p,1,454,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:51,1433862246112,3,401805,27,p,1,501,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:05:56,1433862246112,3,406294,28,p,1,415,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:06:00,1433862246112,3,411317,29,p,1,419,,504.517241379,454,208.654639586
Sl_164_res,2015-06-09,17:06:05,1433862246112,3,411772,30,p,0,,,504.517241379,454,208.654639586
