id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
Sl_291,2016-05-25,04:01:19,,,1,10621,1,p,1,475,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:24,,,1,15706,2,p,1,459,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:29,,,1,20406,3,p,1,418,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:34,,,1,22963,4,p,1,456,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:37,,,1,26901,5,p,1,420,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:41,,,1,31807,6,p,1,427,1,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:45,,,1,34791,7,p,1,551,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:48,,,1,39897,8,p,1,446,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:54,,,1,44058,9,p,1,528,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:01:58,,,1,47626,10,p,1,654,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:01,,,1,50800,11,p,1,634,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:04,,,1,56414,12,p,1,1154,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:10,,,1,61117,13,p,1,485,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:15,,,1,66065,14,p,1,443,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:20,,,1,69634,15,p,1,519,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:23,,,1,74558,16,p,1,460,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:28,,,1,77879,17,p,1,572,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:32,,,1,80875,18,p,1,532,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:35,,,1,83982,19,p,1,566,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:38,,,1,89458,20,p,1,1096,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:43,,,1,93310,21,p,1,572,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:47,,,1,97110,22,p,1,438,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:51,,,1,100311,23,p,1,626,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:54,,,1,104473,24,p,1,444,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:02:58,,,1,107216,25,p,1,547,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:03:01,,,1,110156,26,p,1,504,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:03:04,,,1,114976,27,p,1,469,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:03:09,,,1,119428,28,p,1,479,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:03:13,,,1,124576,29,p,1,435,,545.137931034,485,173.864217163
Sl_291,2016-05-25,04:03:18,,,1,125655,30,p,0,,,545.137931034,485,173.864217163
