id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_123,2015-03-20,07:42:51,1426833771649,5,668583,1,p,1,628,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:42:55,1426833771649,5,673891,2,p,1,331,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:01,1426833771649,5,678110,3,p,1,325,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:05,1426833771649,5,683224,4,p,1,405,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:10,1426833771649,5,688607,5,p,1,626,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:15,1426833771649,5,693224,6,p,1,369,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:20,1426833771649,5,697840,7,p,1,327,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:25,1426833771649,5,702357,8,p,1,430,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:29,1426833771649,5,707641,9,p,1,345,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:34,1426833771649,5,712041,10,p,1,361,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:39,1426833771649,5,715974,11,p,1,482,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:43,1426833771649,5,719190,12,p,1,330,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:46,1426833771649,5,723507,13,p,1,330,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:50,1426833771649,5,729172,14,p,1,721,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:56,1426833771649,5,731807,15,p,1,433,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:43:59,1426833771649,5,736075,16,p,1,944,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:03,1426833771649,5,738541,17,p,1,428,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:05,1426833771649,5,743491,18,p,1,889,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:10,1426833771649,5,748674,19,p,1,415,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:15,1426833771649,5,751291,20,p,1,344,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:18,1426833771649,5,755939,21,p,1,747,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:23,1426833771649,5,760558,22,p,1,384,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:27,1426833771649,5,765574,23,p,1,376,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:32,1426833771649,5,770675,24,p,1,343,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:37,1426833771649,5,775341,25,p,1,367,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:42,1426833771649,5,779740,26,p,1,618,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:46,1426833771649,5,784092,27,p,1,462,,472.592592593,405,177.561313194
SI_123,2015-03-20,07:44:51,1426833771649,5,785482,28,p,0,,,472.592592593,405,177.561313194
