id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_281,2016-04-09,10:37:17,,,5,535321,1,p,1,483,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:21,,,5,540684,2,p,1,434,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:26,,,5,543429,3,p,1,524,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:29,,,5,548705,4,p,1,1980,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:34,,,5,553976,5,p,1,429,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:39,,,5,556826,6,p,1,457,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:42,,,5,559603,7,p,1,505,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:45,,,5,563062,8,p,1,411,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:48,,,5,566522,9,p,1,438,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:52,,,5,572334,10,p,0,,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:37:58,,,5,576745,11,p,1,398,1,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:02,,,5,579811,12,p,1,767,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:05,,,5,584759,13,p,1,438,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:10,,,5,588051,14,p,1,492,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:13,,,5,592847,15,p,1,450,1,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:18,,,5,595544,16,p,1,642,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:21,,,5,599843,17,p,1,608,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:25,,,5,602303,18,p,1,448,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:28,,,5,605191,19,p,1,531,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:31,,,5,608626,20,p,1,450,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:34,,,5,612966,21,p,1,380,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:38,,,5,616988,22,p,1,433,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:42,,,5,619804,23,p,1,396,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:45,,,5,623738,24,p,1,451,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:49,,,5,628606,25,p,1,434,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:54,,,5,632260,26,p,1,425,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:38:58,,,5,637699,27,p,1,573,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:39:03,,,5,642971,28,p,1,444,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:39:08,,,5,646856,29,p,1,445,,530.928571429,449,296.09732241
SI_281,2016-04-09,10:39:12,,,5,651426,30,p,0,,,530.928571429,449,296.09732241
