id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_105B_Lunch,2015-02-27,12:37:05,1425037025693,4,435229,1,1,7,10,15,13,5,6,16,1,,"13,3",1,2.852
SI_105B_Lunch,2015-02-27,12:37:19,1425037025693,4,448903,2,2,7,5,8,6,10,11,2,3,,"10,2",0,2.841
SI_105B_Lunch,2015-02-27,12:37:33,1425037025693,4,461483,3,3,7,3,11,10,4,9,2,5,,"11,2",1,1.75
SI_105B_Lunch,2015-02-27,12:37:45,1425037025693,4,473362,4,4,7,8,12,2,10,5,1,9,,"1,6",1,1.049
SI_105B_Lunch,2015-02-27,12:37:57,1425037025693,4,487487,5,5,7,8,3,1,9,14,6,5,,"11,2",1,3.294
SI_105B_Lunch,2015-02-27,12:38:11,1425037025693,4,500011,6,6,7,6,4,1,5,11,9,15,,"9,6",0,1.694
SI_105B_Lunch,2015-02-27,12:38:24,1425037025693,4,512646,7,7,7,1,11,15,8,13,16,5,,"3,7",1,1.805
SI_105B_Lunch,2015-02-27,12:38:36,1425037025693,4,526367,8,8,7,13,6,1,9,3,7,5,,"9,4",1,2.894
SI_105B_Lunch,2015-02-27,12:38:50,1425037025693,4,539730,9,9,7,3,4,15,10,14,13,8,,"5,4",1,2.532
SI_105B_Lunch,2015-02-27,12:39:03,1425037025693,4,554351,10,10,7,3,5,9,6,16,1,7,,"6,4",1,3.789
