id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_106_4,2015-02-27,16:42:56,1425051776681,5,464066,1,1,7,4,12,15,13,8,3,9,,"8,5",0,1.755
SI_106_4,2015-02-27,16:43:09,1425051776681,5,475948,2,2,7,7,13,8,9,5,4,10,,"10,7",1,1.038
SI_106_4,2015-02-27,16:43:21,1425051776681,5,488249,3,3,7,15,8,7,16,6,10,5,,"16,7",1,1.457
SI_106_4,2015-02-27,16:43:33,1425051776681,5,500816,4,4,7,13,8,7,16,2,12,9,,"11,4",1,1.722
SI_106_4,2015-02-27,16:43:46,1425051776681,5,513366,5,5,7,4,2,6,14,8,9,5,,"6,3",0,1.706
SI_106_4,2015-02-27,16:43:58,1425051776681,5,525398,6,6,7,13,15,2,8,14,5,9,,"16,6",1,1.185
SI_106_4,2015-02-27,16:44:10,1425051776681,5,538514,7,7,7,7,4,9,8,16,15,10,,"7,1",1,2.276
SI_106_4,2015-02-27,16:44:23,1425051776681,5,550681,8,8,7,6,5,11,13,1,16,10,,"3,3",1,1.317
SI_106_4,2015-02-27,16:44:35,1425051776681,5,562733,9,9,7,3,2,14,16,10,5,9,,"9,7",1,1.212
SI_106_4,2015-02-27,16:44:47,1425051776681,5,574702,10,10,7,10,2,8,1,4,14,5,,"7,7",1,1.125
