id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_106_Kväll,2015-02-26,22:31:33,1424986293055,2,124363,1,1,7,1,2,7,12,4,3,10,,"14,3",1,2.792
SI_106_Kväll,2015-02-26,22:31:46,1424986293055,2,136729,2,2,7,11,2,8,7,16,12,5,,"15,5",1,1.51
SI_106_Kväll,2015-02-26,22:31:59,1424986293055,2,150196,3,3,7,11,13,15,7,9,14,12,,"11,1",1,2.619
SI_106_Kväll,2015-02-26,22:32:12,1424986293055,2,164529,4,4,7,4,14,3,9,10,8,1,,"9,2",1,3.473
SI_106_Kväll,2015-02-26,22:32:26,1424986293055,2,177132,5,5,7,7,16,5,1,3,14,6,,"15,1",1,1.759
SI_106_Kväll,2015-02-26,22:32:39,1424986293055,2,189082,6,6,7,10,4,9,15,1,2,8,,"3,7",1,1.101
SI_106_Kväll,2015-02-26,22:32:51,1424986293055,2,201146,7,7,7,8,9,11,2,15,7,3,,"3,7",1,1.216
SI_106_Kväll,2015-02-26,22:33:03,1424986293055,2,213380,8,8,7,3,12,4,9,16,11,2,,"9,1",1,1.386
SI_106_Kväll,2015-02-26,22:33:15,1424986293055,2,225346,9,9,7,13,9,6,2,3,4,11,,"13,7",1,1.123
SI_106_Kväll,2015-02-26,22:33:27,1424986293055,2,237253,10,10,7,9,13,4,5,1,8,10,,"16,3",1,1.061
