id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_108B_Morgon,2015-03-02,07:27:13,1425277633095,3,245153,1,1,7,10,14,9,12,7,15,2,,"9,3",1,2.155
SI_108B_Morgon,2015-03-02,07:27:26,1425277633095,3,260533,2,2,7,11,1,16,6,9,2,5,,"16,3",1,4.351
SI_108B_Morgon,2015-03-02,07:27:41,1425277633095,3,272823,3,3,7,8,4,9,7,5,3,16,,"8,1",1,1.399
SI_108B_Morgon,2015-03-02,07:27:53,1425277633095,3,288346,4,4,7,7,6,1,10,13,5,14,,"5,4",1,4.563
SI_108B_Morgon,2015-03-02,07:28:09,1425277633095,3,302317,5,5,7,7,12,14,6,8,4,16,,"4,6",0,2.998
SI_108B_Morgon,2015-03-02,07:28:23,1425277633095,3,322473,6,6,7,7,16,4,13,5,12,9,,"12,3",0,9.212
SI_108B_Morgon,2015-03-02,07:28:43,1425277633095,3,337279,7,7,7,11,5,12,15,1,3,14,,"5,5",0,3.811
SI_108B_Morgon,2015-03-02,07:28:58,1425277633095,3,349773,8,8,7,5,7,2,9,8,6,10,,"10,2",1,1.527
SI_108B_Morgon,2015-03-02,07:29:10,1425277633095,3,362070,9,9,7,16,3,1,11,8,7,14,,"10,3",1,1.308
SI_108B_Morgon,2015-03-02,07:29:23,1425277633095,3,374868,10,10,7,12,11,8,2,5,16,7,,"15,1",1,1.779
