id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_110_Morgon,2015-03-11,08:04:12,1426057452706,3,249245,1,1,7,12,1,3,4,13,14,15,,"15,7",1,2.056
SI_110_Morgon,2015-03-11,08:04:25,1426057452706,3,262434,2,2,7,7,12,9,13,8,14,11,,"14,6",0,2.162
SI_110_Morgon,2015-03-11,08:04:38,1426057452706,3,275268,3,3,7,13,10,4,6,15,8,12,,"6,4",0,1.823
SI_110_Morgon,2015-03-11,08:04:51,1426057452706,3,287851,4,4,7,15,9,10,4,12,13,8,,"12,5",0,1.569
SI_110_Morgon,2015-03-11,08:05:04,1426057452706,3,300944,5,5,7,1,14,13,16,5,8,2,,"14,5",1,2.026
SI_110_Morgon,2015-03-11,08:05:17,1426057452706,3,313887,6,6,7,14,16,13,12,7,8,4,,"6,7",1,1.9
SI_110_Morgon,2015-03-11,08:05:30,1426057452706,3,326463,7,7,7,2,1,4,12,13,14,10,,"1,2",1,1.537
SI_110_Morgon,2015-03-11,08:05:43,1426057452706,3,339360,8,8,7,9,6,5,13,15,11,1,,"6,2",0,1.839
SI_110_Morgon,2015-03-11,08:05:55,1426057452706,3,353301,9,9,7,9,4,13,8,15,6,5,,"15,5",0,2.946
SI_110_Morgon,2015-03-11,08:06:09,1426057452706,3,365909,10,10,7,8,7,9,5,2,10,11,,"11,7",1,1.577
