id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_139,2015-04-21,16:26:12,1429626372373,4,404172,1,1,7,7,9,4,5,3,14,6,,"16,4",1,2.064
SI_139,2015-04-21,16:26:25,1429626372373,4,416641,2,2,7,14,11,9,1,5,15,7,,"7,2",1,1.608
SI_139,2015-04-21,16:26:37,1429626372373,4,429732,3,3,7,6,13,11,16,4,2,8,,"15,7",1,2.224
SI_139,2015-04-21,16:26:50,1429626372373,4,442571,4,4,7,10,2,12,16,4,1,9,,"5,4",1,1.972
SI_139,2015-04-21,16:27:03,1429626372373,4,454909,5,5,7,4,14,1,10,3,8,9,,"12,3",1,1.475
SI_139,2015-04-21,16:27:16,1429626372373,4,468911,6,6,7,16,15,2,9,14,12,7,,"7,1",0,3.136
SI_139,2015-04-21,16:27:30,1429626372373,4,482398,7,7,7,11,16,8,15,12,13,2,,"15,4",0,2.624
SI_139,2015-04-21,16:27:43,1429626372373,4,495090,8,8,7,3,15,14,10,12,16,1,,"3,1",1,1.832
SI_139,2015-04-21,16:27:56,1429626372373,4,508132,9,9,7,1,4,11,8,6,9,3,,"9,1",1,2.183
SI_139,2015-04-21,16:28:09,1429626372373,4,521108,10,10,7,2,1,9,14,7,3,11,,"10,3",1,2.124
