id,date,time,t0,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_105B_Eftermiddag,2015-02-27,16:29:07,1425050947596,1,7567,1,red,red,red,1912,1,1,
SI_105B_Eftermiddag,2015-02-27,16:29:09,1425050947596,1,9033,2,green,yellow,green,1464,1,0,2
SI_105B_Eftermiddag,2015-02-27,16:29:10,1425050947596,1,10436,3,blue,green,blue,1403,1,0,4
SI_105B_Eftermiddag,2015-02-27,16:29:12,1425050947596,1,11848,4,red,red,red,1411,1,1,3
SI_105B_Eftermiddag,2015-02-27,16:29:13,1425050947596,1,13041,5,green,blue,green,1193,1,0,2
SI_105B_Eftermiddag,2015-02-27,16:29:14,1425050947596,1,14188,6,blue,green,blue,1146,1,0,4
SI_105B_Eftermiddag,2015-02-27,16:29:16,1425050947596,1,15244,7,yellow,yellow,yellow,1056,1,1,3
SI_105B_Eftermiddag,2015-02-27,16:29:17,1425050947596,1,16968,8,green,green,green,1723,1,1,1
SI_105B_Eftermiddag,2015-02-27,16:29:18,1425050947596,1,18608,9,blue,yellow,blue,1639,1,0,2
SI_105B_Eftermiddag,2015-02-27,16:29:20,1425050947596,1,20330,10,green,blue,green,1721,1,0,4
SI_105B_Eftermiddag,2015-02-27,16:29:22,1425050947596,1,21602,11,red,yellow,red,1271,1,0,4
SI_105B_Eftermiddag,2015-02-27,16:29:23,1425050947596,1,23036,12,yellow,red,yellow,1433,1,0,4
SI_105B_Eftermiddag,2015-02-27,16:29:24,1425050947596,1,24227,13,blue,blue,blue,1190,1,1,3
SI_105B_Eftermiddag,2015-02-27,16:29:26,1425050947596,1,25446,14,yellow,yellow,yellow,1218,1,1,1
SI_105B_Eftermiddag,2015-02-27,16:29:27,1425050947596,1,26984,15,blue,green,blue,1538,1,0,2
SI_105B_Eftermiddag,2015-02-27,16:29:28,1425050947596,1,28378,16,yellow,blue,yellow,1394,1,0,4
SI_105B_Eftermiddag,2015-02-27,16:29:30,1425050947596,1,29772,17,green,green,green,1394,1,1,3
SI_105B_Eftermiddag,2015-02-27,16:29:31,1425050947596,1,30972,18,blue,blue,blue,1200,1,1,1
SI_105B_Eftermiddag,2015-02-27,16:29:32,1425050947596,1,32560,19,yellow,green,yellow,1588,1,0,2
SI_105B_Eftermiddag,2015-02-27,16:29:34,1425050947596,1,34188,20,green,blue,green,1628,1,0,4
SI_105B_Eftermiddag,2015-02-27,16:29:36,1425050947596,1,35821,21,yellow,yellow,yellow,1633,1,1,3
SI_105B_Eftermiddag,2015-02-27,16:29:37,1425050947596,1,37064,22,blue,red,blue,1242,1,0,2
SI_105B_Eftermiddag,2015-02-27,16:29:39,1425050947596,1,38224,23,yellow,yellow,yellow,1159,1,1,3
