id,date,time,t0,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_105B_Lunch,2015-02-27,12:33:30,1425036810671,2,208033,1,green,green,green,1508,1,1,
SI_105B_Lunch,2015-02-27,12:33:32,1425036810671,2,209409,2,yellow,yellow,yellow,1375,1,1,1
SI_105B_Lunch,2015-02-27,12:33:33,1425036810671,2,211021,3,green,blue,green,1611,1,0,2
SI_105B_Lunch,2015-02-27,12:33:35,1425036810671,2,212514,4,red,red,red,1492,1,1,3
SI_105B_Lunch,2015-02-27,12:33:36,1425036810671,2,214229,5,blue,blue,blue,1714,1,1,1
SI_105B_Lunch,2015-02-27,12:33:38,1425036810671,2,215625,6,yellow,red,yellow,1394,1,0,2
SI_105B_Lunch,2015-02-27,12:33:39,1425036810671,2,216967,7,red,yellow,red,1341,1,0,4
SI_105B_Lunch,2015-02-27,12:33:41,1425036810671,2,218297,8,blue,red,blue,1329,1,0,4
SI_105B_Lunch,2015-02-27,12:33:42,1425036810671,2,219608,9,red,yellow,red,1310,1,0,4
SI_105B_Lunch,2015-02-27,12:33:43,1425036810671,2,220873,10,yellow,blue,yellow,1264,1,0,4
SI_105B_Lunch,2015-02-27,12:33:45,1425036810671,2,222102,11,green,yellow,green,1228,1,0,4
SI_105B_Lunch,2015-02-27,12:33:46,1425036810671,2,223931,12,red,blue,red,1828,1,0,4
SI_105B_Lunch,2015-02-27,12:33:48,1425036810671,2,225243,13,green,green,green,1312,1,1,3
SI_105B_Lunch,2015-02-27,12:33:49,1425036810671,2,226491,14,red,red,red,1247,1,1,1
SI_105B_Lunch,2015-02-27,12:33:50,1425036810671,2,228943,15,green,yellow,green,2452,1,0,2
SI_105B_Lunch,2015-02-27,12:33:53,1425036810671,2,229995,16,yellow,green,yellow,1051,1,0,4
SI_105B_Lunch,2015-02-27,12:33:54,1425036810671,2,231363,17,red,blue,red,1368,1,0,4
SI_105B_Lunch,2015-02-27,12:33:55,1425036810671,2,232414,18,yellow,green,yellow,1050,1,0,4
SI_105B_Lunch,2015-02-27,12:33:56,1425036810671,2,233613,19,blue,blue,blue,1198,1,1,3
SI_105B_Lunch,2015-02-27,12:33:57,1425036810671,2,234858,20,red,red,red,1245,1,1,1
SI_105B_Lunch,2015-02-27,12:33:59,1425036810671,2,236370,21,blue,yellow,blue,1511,1,0,2
SI_105B_Lunch,2015-02-27,12:34:00,1425036810671,2,237848,22,red,blue,red,1477,1,0,4
SI_105B_Lunch,2015-02-27,12:34:01,1425036810671,2,239695,23,green,yellow,green,1846,1,0,4
SI_105B_Lunch,2015-02-27,12:34:03,1425036810671,2,241192,24,blue,green,blue,1496,1,0,4
SI_105B_Lunch,2015-02-27,12:34:05,1425036810671,2,242510,25,red,red,red,1317,1,1,3
SI_105B_Lunch,2015-02-27,12:34:06,1425036810671,2,243820,26,blue,green,blue,1309,1,0,2
SI_105B_Lunch,2015-02-27,12:34:07,1425036810671,2,244938,27,red,blue,red,1117,1,0,4
SI_105B_Lunch,2015-02-27,12:34:09,1425036810671,2,246080,28,blue,yellow,blue,1141,1,0,4
SI_105B_Lunch,2015-02-27,12:34:10,1425036810671,2,247383,29,green,blue,green,1302,1,0,4
SI_105B_Lunch,2015-02-27,12:34:11,1425036810671,2,249176,30,blue,green,blue,1793,1,0,4
SI_105B_Lunch,2015-02-27,12:34:13,1425036810671,2,250406,31,red,red,red,1229,1,1,3
SI_105B_Lunch,2015-02-27,12:34:14,1425036810671,2,251830,32,green,green,green,1423,1,1,1
SI_105B_Lunch,2015-02-27,12:34:15,1425036810671,2,253454,33,blue,red,blue,1623,1,0,2
SI_105B_Lunch,2015-02-27,12:34:17,1425036810671,2,254862,34,green,green,green,1408,1,1,3
SI_105B_Lunch,2015-02-27,12:34:19,1425036810671,2,256212,35,red,red,red,1349,1,1,1
