id,date,time,t0,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_106_2,2015-02-27,08:13:44,1425021224509,5,489486,1,green,green,green,1098,1,1,
SI_106_2,2015-02-27,08:13:45,1425021224509,5,490332,2,yellow,yellow,yellow,845,1,1,1
SI_106_2,2015-02-27,08:13:46,1425021224509,5,491288,3,blue,green,blue,952,1,0,2
SI_106_2,2015-02-27,08:13:47,1425021224509,5,492084,4,yellow,yellow,yellow,795,1,1,3
SI_106_2,2015-02-27,08:13:48,1425021224509,5,493004,5,blue,blue,blue,920,1,1,1
SI_106_2,2015-02-27,08:13:49,1425021224509,5,493982,6,yellow,red,yellow,973,1,0,2
SI_106_2,2015-02-27,08:13:50,1425021224509,5,494734,7,blue,yellow,blue,751,1,0,4
SI_106_2,2015-02-27,08:13:50,1425021224509,5,495399,8,yellow,green,yellow,663,1,0,4
SI_106_2,2015-02-27,08:13:51,1425021224509,5,496274,9,red,red,red,874,1,1,3
SI_106_2,2015-02-27,08:13:52,1425021224509,5,497084,10,blue,blue,blue,809,1,1,1
SI_106_2,2015-02-27,08:13:53,1425021224509,5,497906,11,yellow,red,yellow,819,1,0,2
SI_106_2,2015-02-27,08:13:54,1425021224509,5,498666,12,blue,blue,blue,759,1,1,3
SI_106_2,2015-02-27,08:13:54,1425021224509,5,499478,13,yellow,green,yellow,809,1,0,2
SI_106_2,2015-02-27,08:13:55,1425021224509,5,500248,14,blue,yellow,blue,767,1,0,4
SI_106_2,2015-02-27,08:13:56,1425021224509,5,501084,15,green,blue,green,834,1,0,4
SI_106_2,2015-02-27,08:13:57,1425021224509,5,501965,16,blue,red,blue,880,1,0,4
SI_106_2,2015-02-27,08:13:58,1425021224509,5,502772,17,yellow,yellow,yellow,806,1,1,3
SI_106_2,2015-02-27,08:13:58,1425021224509,5,503552,18,blue,blue,blue,779,1,1,1
SI_106_2,2015-02-27,08:13:59,1425021224509,5,504382,19,red,yellow,red,830,1,0,2
SI_106_2,2015-02-27,08:14:00,1425021224509,5,505184,20,yellow,blue,yellow,801,1,0,4
SI_106_2,2015-02-27,08:14:01,1425021224509,5,506086,21,green,green,green,902,1,1,3
SI_106_2,2015-02-27,08:14:02,1425021224509,5,506943,22,yellow,yellow,yellow,856,1,1,1
SI_106_2,2015-02-27,08:14:03,1425021224509,5,508018,23,green,blue,green,1074,1,0,2
SI_106_2,2015-02-27,08:14:04,1425021224509,5,508976,24,red,red,red,957,1,1,3
SI_106_2,2015-02-27,08:14:05,1425021224509,5,509799,25,yellow,blue,yellow,821,1,0,2
SI_106_2,2015-02-27,08:14:05,1425021224509,5,510898,26,green,yellow,green,1098,1,0,4
SI_106_2,2015-02-27,08:14:07,1425021224509,5,511652,27,blue,blue,blue,753,1,1,3
SI_106_2,2015-02-27,08:14:07,1425021224509,5,512585,28,green,green,green,932,1,1,1
SI_106_2,2015-02-27,08:14:08,1425021224509,5,513984,29,blue,yellow,blue,1399,1,0,2
SI_106_2,2015-02-27,08:14:10,1425021224509,5,515067,30,yellow,green,yellow,1083,1,0,4
SI_106_2,2015-02-27,08:14:11,1425021224509,5,516033,31,blue,yellow,blue,965,1,0,4
SI_106_2,2015-02-27,08:14:12,1425021224509,5,516898,32,red,red,red,864,1,1,3
SI_106_2,2015-02-27,08:14:13,1425021224509,5,517933,33,green,green,green,1034,1,1,1
SI_106_2,2015-02-27,08:14:14,1425021224509,5,518867,34,yellow,red,yellow,934,1,0,2
SI_106_2,2015-02-27,08:14:14,1425021224509,5,519884,35,blue,blue,blue,1016,1,1,3
