id,date,time,t0,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_108B_Morgon,2015-03-02,12:32:41,1425295961246,1,7147,1,red,red,red,1423,1,1,
SI_108B_Morgon,2015-03-02,12:32:42,1425295961246,1,8167,2,blue,green,blue,1007,1,0,2
SI_108B_Morgon,2015-03-02,12:32:43,1425295961246,1,9002,3,red,red,red,824,1,1,3
SI_108B_Morgon,2015-03-02,12:32:44,1425295961246,1,9775,4,yellow,yellow,yellow,760,1,1,1
SI_108B_Morgon,2015-03-02,12:32:45,1425295961246,1,11024,5,blue,green,blue,1238,1,0,2
SI_108B_Morgon,2015-03-02,12:32:46,1425295961246,1,11931,6,yellow,yellow,yellow,892,1,1,3
SI_108B_Morgon,2015-03-02,12:32:47,1425295961246,1,12705,7,blue,blue,blue,767,1,1,1
SI_108B_Morgon,2015-03-02,12:32:48,1425295961246,1,13561,8,yellow,green,yellow,850,1,0,2
SI_108B_Morgon,2015-03-02,12:32:49,1425295961246,1,14564,9,red,blue,red,991,1,0,4
SI_108B_Morgon,2015-03-02,12:32:50,1425295961246,1,15498,10,blue,yellow,blue,927,1,0,4
SI_108B_Morgon,2015-03-02,12:32:51,1425295961246,1,16255,11,yellow,blue,yellow,745,1,0,4
SI_108B_Morgon,2015-03-02,12:32:51,1425295961246,1,17661,12,blue,red,blue,1388,1,0,4
SI_108B_Morgon,2015-03-02,12:32:53,1425295961246,1,18465,13,red,blue,red,798,1,0,4
SI_108B_Morgon,2015-03-02,12:32:54,1425295961246,1,19358,14,blue,yellow,blue,887,1,0,4
SI_108B_Morgon,2015-03-02,12:32:54,1425295961246,1,20234,15,green,green,green,872,1,1,3
SI_108B_Morgon,2015-03-02,12:32:55,1425295961246,1,21094,16,yellow,red,yellow,856,1,0,2
SI_108B_Morgon,2015-03-02,12:32:56,1425295961246,1,22258,17,green,blue,green,1158,1,0,4
SI_108B_Morgon,2015-03-02,12:32:57,1425295961246,1,23179,18,blue,red,blue,906,1,0,4
SI_108B_Morgon,2015-03-02,12:32:58,1425295961246,1,23968,19,yellow,yellow,yellow,785,1,1,3
SI_108B_Morgon,2015-03-02,12:32:59,1425295961246,1,24997,20,red,blue,red,1023,1,0,2
SI_108B_Morgon,2015-03-02,12:33:00,1425295961246,1,26060,21,yellow,red,yellow,1055,1,0,4
SI_108B_Morgon,2015-03-02,12:33:01,1425295961246,1,27045,22,blue,green,blue,973,1,0,4
SI_108B_Morgon,2015-03-02,12:33:02,1425295961246,1,27945,23,yellow,red,yellow,889,1,0,4
SI_108B_Morgon,2015-03-02,12:33:03,1425295961246,1,28942,24,blue,green,blue,984,1,0,4
SI_108B_Morgon,2015-03-02,12:33:04,1425295961246,1,29916,25,yellow,yellow,yellow,955,1,1,3
SI_108B_Morgon,2015-03-02,12:33:05,1425295961246,1,30799,26,green,blue,green,876,1,0,2
SI_108B_Morgon,2015-03-02,12:33:06,1425295961246,1,31999,27,yellow,yellow,yellow,1192,1,1,3
SI_108B_Morgon,2015-03-02,12:33:07,1425295961246,1,32851,28,green,green,green,848,1,1,1
SI_108B_Morgon,2015-03-02,12:33:08,1425295961246,1,34110,29,yellow,blue,yellow,1253,1,0,2
SI_108B_Morgon,2015-03-02,12:33:09,1425295961246,1,35010,30,red,red,red,882,1,1,3
SI_108B_Morgon,2015-03-02,12:33:10,1425295961246,1,36131,31,yellow,blue,yellow,1109,1,0,2
SI_108B_Morgon,2015-03-02,12:33:11,1425295961246,1,37622,32,red,red,red,1486,1,1,3
SI_108B_Morgon,2015-03-02,12:33:13,1425295961246,1,38807,33,green,green,green,1172,1,1,1
SI_108B_Morgon,2015-03-02,12:33:14,1425295961246,1,40291,34,blue,red,blue,1477,1,0,2
SI_108B_Morgon,2015-03-02,12:33:15,1425295961246,1,41289,35,green,blue,green,980,1,0,4
SI_108B_Morgon,2015-03-02,12:33:16,1425295961246,1,42175,36,yellow,red,yellow,870,1,0,4
SI_108B_Morgon,2015-03-02,12:33:17,1425295961246,1,43134,37,red,yellow,red,954,1,0,4
SI_108B_Morgon,2015-03-02,12:33:18,1425295961246,1,44109,38,blue,red,blue,969,1,0,4
SI_108B_Morgon,2015-03-02,12:33:19,1425295961246,1,44929,39,green,green,green,814,1,1,3
SI_108B_Morgon,2015-03-02,12:33:20,1425295961246,1,46107,40,blue,blue,blue,1165,1,1,1
SI_108B_Morgon,2015-03-02,12:33:21,1425295961246,1,47184,41,green,yellow,green,1064,1,0,2
SI_108B_Morgon,2015-03-02,12:33:22,1425295961246,1,48294,42,blue,blue,blue,1097,1,1,3
SI_108B_Morgon,2015-03-02,12:33:23,1425295961246,1,50066,43,yellow,red,yellow,1761,1,0,2
SI_108B_Morgon,2015-03-02,12:33:25,1425295961246,1,51179,44,blue,blue,blue,1109,1,1,3
SI_108B_Morgon,2015-03-02,12:33:26,1425295961246,1,52214,45,yellow,yellow,yellow,1029,1,1,1
SI_108B_Morgon,2015-03-02,12:33:27,1425295961246,1,53170,46,red,blue,red,948,1,0,2
SI_108B_Morgon,2015-03-02,12:33:28,1425295961246,1,54244,47,yellow,green,yellow,1067,1,0,4
SI_108B_Morgon,2015-03-02,12:33:29,1425295961246,1,55128,48,blue,red,blue,872,1,0,4
SI_108B_Morgon,2015-03-02,12:33:30,1425295961246,1,55974,49,green,green,green,836,1,1,3
SI_108B_Morgon,2015-03-02,12:33:31,1425295961246,1,56981,50,blue,blue,blue,991,1,1,1
SI_108B_Morgon,2015-03-02,12:33:32,1425295961246,1,58009,51,red,yellow,red,999,1,0,2
SI_108B_Morgon,2015-03-02,12:33:33,1425295961246,1,59252,52,yellow,red,yellow,1226,1,0,4
SI_108B_Morgon,2015-03-02,12:33:34,1425295961246,1,60285,53,blue,blue,blue,1020,1,1,3
SI_108B_Morgon,2015-03-02,12:33:35,1425295961246,1,61066,54,yellow,green,yellow,774,1,0,2
SI_108B_Morgon,2015-03-02,12:33:36,1425295961246,1,62125,55,red,yellow,red,1047,1,0,4
SI_108B_Morgon,2015-03-02,12:33:37,1425295961246,1,63163,56,blue,blue,blue,1025,1,1,3
SI_108B_Morgon,2015-03-02,12:33:38,1425295961246,1,64134,57,yellow,yellow,yellow,962,1,1,1
SI_108B_Morgon,2015-03-02,12:33:39,1425295961246,1,65024,58,blue,red,blue,878,1,0,2
SI_108B_Morgon,2015-03-02,12:33:40,1425295961246,1,65851,59,green,green,green,816,1,1,3
SI_108B_Morgon,2015-03-02,12:33:41,1425295961246,1,66875,60,red,red,red,1010,1,1,1
SI_108B_Morgon,2015-03-02,12:33:42,1425295961246,1,67759,61,yellow,blue,yellow,858,1,0,2
SI_108B_Morgon,2015-03-02,12:33:43,1425295961246,1,68925,62,red,red,red,1152,1,1,3
SI_108B_Morgon,2015-03-02,12:33:44,1425295961246,1,70576,63,blue,yellow,blue,1639,1,0,2
SI_108B_Morgon,2015-03-02,12:33:46,1425295961246,1,71395,64,yellow,blue,yellow,806,1,0,4
SI_108B_Morgon,2015-03-02,12:33:46,1425295961246,1,72563,65,red,yellow,red,1149,1,0,4
SI_108B_Morgon,2015-03-02,12:33:48,1425295961246,1,73356,66,green,green,green,779,1,1,3
SI_108B_Morgon,2015-03-02,12:33:48,1425295961246,1,74355,67,red,blue,red,993,1,0,2
SI_108B_Morgon,2015-03-02,12:33:49,1425295961246,1,75278,68,green,green,green,918,1,1,3
SI_108B_Morgon,2015-03-02,12:33:50,1425295961246,1,76149,69,red,red,red,859,1,1,1
SI_108B_Morgon,2015-03-02,12:33:51,1425295961246,1,77705,70,green,yellow,green,1526,1,0,2
SI_108B_Morgon,2015-03-02,12:33:53,1425295961246,1,78809,71,blue,green,blue,1093,1,0,4
SI_108B_Morgon,2015-03-02,12:33:54,1425295961246,1,79806,72,red,yellow,red,990,1,0,4
SI_108B_Morgon,2015-03-02,12:33:55,1425295961246,1,80661,73,yellow,red,yellow,820,1,0,4
SI_108B_Morgon,2015-03-02,12:33:56,1425295961246,1,81455,74,blue,yellow,blue,781,1,0,4
SI_108B_Morgon,2015-03-02,12:33:56,1425295961246,1,82477,75,green,green,green,1016,1,1,3
SI_108B_Morgon,2015-03-02,12:33:58,1425295961246,1,83359,76,blue,blue,blue,875,1,1,1
SI_108B_Morgon,2015-03-02,12:33:58,1425295961246,1,84190,77,yellow,red,yellow,818,1,0,2
SI_108B_Morgon,2015-03-02,12:33:59,1425295961246,1,85484,78,blue,yellow,blue,1284,1,0,4
SI_108B_Morgon,2015-03-02,12:34:01,1425295961246,1,86283,79,green,green,green,783,1,1,3
SI_108B_Morgon,2015-03-02,12:34:01,1425295961246,1,87174,80,yellow,yellow,yellow,878,1,1,1
SI_108B_Morgon,2015-03-02,12:34:02,1425295961246,1,88199,81,red,blue,red,1007,1,0,2
SI_108B_Morgon,2015-03-02,12:34:03,1425295961246,1,89143,82,yellow,green,yellow,928,1,0,4
SI_108B_Morgon,2015-03-02,12:34:04,1425295961246,1,90072,83,red,red,red,923,1,1,3
SI_108B_Morgon,2015-03-02,12:34:05,1425295961246,1,90919,84,blue,yellow,blue,834,1,0,2
SI_108B_Morgon,2015-03-02,12:34:06,1425295961246,1,91618,85,green,green,green,686,1,1,3
SI_108B_Morgon,2015-03-02,12:34:07,1425295961246,1,92525,86,blue,blue,blue,894,1,1,1
SI_108B_Morgon,2015-03-02,12:34:08,1425295961246,1,93382,87,yellow,red,yellow,845,1,0,2
SI_108B_Morgon,2015-03-02,12:34:08,1425295961246,1,94453,88,blue,green,blue,1058,1,0,4
SI_108B_Morgon,2015-03-02,12:34:09,1425295961246,1,95527,89,yellow,yellow,yellow,1064,1,1,3
SI_108B_Morgon,2015-03-02,12:34:11,1425295961246,1,96364,90,blue,blue,blue,831,1,1,1
SI_108B_Morgon,2015-03-02,12:34:11,1425295961246,1,97154,91,yellow,green,yellow,776,1,0,2
