id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_268,2016-03-13,21:52:04,,,3,340024,1,green,green,green,1477,1,1,
SI_268,2016-03-13,21:52:05,,,3,340859,2,blue,blue,blue,834,1,1,1
SI_268,2016-03-13,21:52:06,,,3,341855,3,green,yellow,green,994,1,0,2
SI_268,2016-03-13,21:52:07,,,3,342762,4,yellow,red,yellow,907,1,0,4
SI_268,2016-03-13,21:52:08,,,3,343674,5,red,yellow,red,911,1,0,4
SI_268,2016-03-13,21:52:09,,,3,344588,6,blue,blue,blue,913,1,1,3
SI_268,2016-03-13,21:52:10,,,3,345607,7,yellow,yellow,yellow,1018,1,1,1
SI_268,2016-03-13,21:52:11,,,3,346657,8,red,blue,red,1049,1,0,2
SI_268,2016-03-13,21:52:12,,,3,347616,9,yellow,yellow,yellow,959,1,1,3
SI_268,2016-03-13,21:52:13,,,3,348405,10,green,green,green,786,1,1,1
SI_268,2016-03-13,21:52:14,,,3,349558,11,red,blue,red,1152,1,0,2
SI_268,2016-03-13,21:52:15,,,3,350442,12,blue,yellow,blue,882,1,0,4
SI_268,2016-03-13,21:52:16,,,3,351493,13,red,red,red,1048,1,1,3
SI_268,2016-03-13,21:52:17,,,3,352445,14,green,yellow,green,951,1,0,2
SI_268,2016-03-13,21:52:18,,,3,353306,15,blue,blue,blue,861,1,1,3
SI_268,2016-03-13,21:52:19,,,3,354243,16,green,green,green,934,1,1,1
SI_268,2016-03-13,21:52:20,,,3,355445,17,blue,red,blue,1200,1,0,2
SI_268,2016-03-13,21:52:21,,,3,356302,18,yellow,yellow,yellow,856,1,1,3
SI_268,2016-03-13,21:52:22,,,3,357428,19,green,green,green,1125,1,1,1
SI_268,2016-03-13,21:52:23,,,3,358463,20,red,blue,red,1034,1,0,2
SI_268,2016-03-13,21:52:24,,,3,359198,21,blue,red,blue,733,1,0,4
SI_268,2016-03-13,21:52:25,,,3,360631,22,red,yellow,red,1433,1,0,4
SI_268,2016-03-13,21:52:26,,,3,361411,23,blue,blue,blue,779,1,1,3
SI_268,2016-03-13,21:52:27,,,3,362280,24,green,green,green,868,1,1,1
SI_268,2016-03-13,21:52:28,,,3,363067,25,red,blue,red,786,1,0,2
SI_268,2016-03-13,21:52:29,,,3,364035,26,green,green,green,967,1,1,3
SI_268,2016-03-13,21:52:29,,,3,365010,27,yellow,yellow,yellow,975,1,1,1
SI_268,2016-03-13,21:52:30,,,3,366685,28,red,blue,red,1673,1,0,2
SI_268,2016-03-13,21:52:32,,,3,367737,29,yellow,yellow,yellow,1051,1,1,3
SI_268,2016-03-13,21:52:33,,,3,368785,30,blue,red,blue,1047,1,0,2
SI_268,2016-03-13,21:52:34,,,3,369919,31,yellow,yellow,yellow,1133,1,1,3
SI_268,2016-03-13,21:52:35,,,3,370814,32,blue,blue,blue,894,1,1,1
SI_268,2016-03-13,21:52:36,,,3,371952,33,yellow,red,yellow,1137,1,0,2
SI_268,2016-03-13,21:52:37,,,3,372927,34,green,green,green,975,1,1,3
SI_268,2016-03-13,21:52:38,,,3,373849,35,blue,yellow,blue,921,1,0,2
SI_268,2016-03-13,21:52:39,,,3,374778,36,yellow,blue,yellow,928,1,0,4
SI_268,2016-03-13,21:52:40,,,3,375653,37,red,red,red,875,1,1,3
SI_268,2016-03-13,21:52:41,,,3,376505,38,green,green,green,851,1,1,1
SI_268,2016-03-13,21:52:42,,,3,377449,39,red,blue,red,943,1,0,2
SI_268,2016-03-13,21:52:43,,,3,378238,40,blue,red,blue,788,1,0,4
SI_268,2016-03-13,21:52:44,,,3,379342,41,red,yellow,red,1103,1,0,4
SI_268,2016-03-13,21:52:45,,,3,380191,42,green,green,green,848,1,1,3
SI_268,2016-03-13,21:52:46,,,3,381246,43,blue,red,blue,1054,1,0,2
SI_268,2016-03-13,21:52:47,,,3,382180,44,yellow,blue,yellow,933,1,0,4
SI_268,2016-03-13,21:52:48,,,3,383060,45,blue,red,blue,878,1,0,4
SI_268,2016-03-13,21:52:48,,,3,384028,46,yellow,green,yellow,967,1,0,4
