id,date,time,t0,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
Sl_164_res,2015-06-09,07:48:58,1433828938488,5,601026,1,green,blue,green,1487,1,0,
Sl_164_res,2015-06-09,07:48:59,1433828938488,5,602236,2,red,red,red,1209,1,1,3
Sl_164_res,2015-06-09,07:49:01,1433828938488,5,603213,3,yellow,green,yellow,976,1,0,2
Sl_164_res,2015-06-09,07:49:02,1433828938488,5,604137,4,green,blue,green,923,1,0,4
Sl_164_res,2015-06-09,07:49:03,1433828938488,5,605164,5,red,red,red,1027,1,1,3
Sl_164_res,2015-06-09,07:49:04,1433828938488,5,606336,6,blue,blue,blue,1171,1,1,1
Sl_164_res,2015-06-09,07:49:05,1433828938488,5,607778,7,red,yellow,red,1441,1,0,2
Sl_164_res,2015-06-09,07:49:06,1433828938488,5,608758,8,green,green,green,979,1,1,3
Sl_164_res,2015-06-09,07:49:07,1433828938488,5,609897,9,blue,blue,blue,1138,1,1,1
Sl_164_res,2015-06-09,07:49:08,1433828938488,5,611259,10,yellow,green,yellow,1360,1,0,2
Sl_164_res,2015-06-09,07:49:10,1433828938488,5,612948,11,red,blue,red,1688,1,0,4
Sl_164_res,2015-06-09,07:49:11,1433828938488,5,614006,12,yellow,yellow,yellow,1057,1,1,3
Sl_164_res,2015-06-09,07:49:12,1433828938488,5,615184,13,red,red,red,1178,1,1,1
Sl_164_res,2015-06-09,07:49:14,1433828938488,5,616251,14,yellow,blue,yellow,1066,1,0,2
Sl_164_res,2015-06-09,07:49:15,1433828938488,5,617261,15,green,green,green,1009,1,1,3
Sl_164_res,2015-06-09,07:49:16,1433828938488,5,618296,16,red,red,red,1034,1,1,1
Sl_164_res,2015-06-09,07:49:17,1433828938488,5,619363,17,green,yellow,green,1067,1,0,2
Sl_164_res,2015-06-09,07:49:18,1433828938488,5,620423,18,blue,blue,blue,1059,1,1,3
Sl_164_res,2015-06-09,07:49:19,1433828938488,5,621681,19,green,yellow,green,1257,1,0,2
Sl_164_res,2015-06-09,07:49:20,1433828938488,5,622709,20,blue,green,blue,1027,1,0,4
Sl_164_res,2015-06-09,07:49:21,1433828938488,5,624175,21,red,blue,red,1465,1,0,4
Sl_164_res,2015-06-09,07:49:23,1433828938488,5,625313,22,yellow,green,yellow,1137,1,0,4
Sl_164_res,2015-06-09,07:49:24,1433828938488,5,626461,23,red,blue,red,1148,1,0,4
Sl_164_res,2015-06-09,07:49:25,1433828938488,5,627385,24,yellow,yellow,yellow,923,1,1,3
Sl_164_res,2015-06-09,07:49:26,1433828938488,5,628651,25,red,red,red,1265,1,1,1
Sl_164_res,2015-06-09,07:49:27,1433828938488,5,629831,26,green,blue,green,1179,1,0,2
Sl_164_res,2015-06-09,07:49:28,1433828938488,5,630869,27,yellow,yellow,yellow,1037,1,1,3
Sl_164_res,2015-06-09,07:49:29,1433828938488,5,631953,28,red,red,red,1083,1,1,1
Sl_164_res,2015-06-09,07:49:30,1433828938488,5,633197,29,green,blue,green,1243,1,0,2
