id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
Sl_305,2016-05-22,15:01:38,,,1,6515,1,green,green,green,850,1,1,
Sl_305,2016-05-22,15:01:39,,,1,7213,2,yellow,yellow,yellow,697,1,1,1
Sl_305,2016-05-22,15:01:40,,,1,7891,3,blue,green,blue,677,1,0,2
Sl_305,2016-05-22,15:01:40,,,1,8381,4,red,red,red,488,1,1,3
Sl_305,2016-05-22,15:01:41,,,1,8953,5,green,blue,green,571,1,0,2
Sl_305,2016-05-22,15:01:41,,,1,9498,6,red,red,red,544,1,1,3
Sl_305,2016-05-22,15:01:42,,,1,10331,7,blue,yellow,blue,833,1,0,2
Sl_305,2016-05-22,15:01:43,,,1,10934,8,green,green,green,602,1,1,3
Sl_305,2016-05-22,15:01:43,,,1,11556,9,blue,red,blue,621,1,0,2
Sl_305,2016-05-22,15:01:44,,,1,12063,10,green,green,green,505,1,1,3
Sl_305,2016-05-22,15:01:45,,,1,12673,11,blue,blue,blue,610,1,1,1
Sl_305,2016-05-22,15:01:45,,,1,13315,12,yellow,green,yellow,639,1,0,2
Sl_305,2016-05-22,15:01:46,,,1,13914,13,green,blue,blue,599,0,0,4
Sl_305,2016-05-22,15:01:46,,,1,14063,14,yellow,yellow,blue,148,0,1,3
Sl_305,2016-05-22,15:01:47,,,1,15330,15,red,red,red,1266,1,1,1
Sl_305,2016-05-22,15:01:48,,,1,16016,16,blue,yellow,blue,684,1,0,2
Sl_305,2016-05-22,15:01:49,,,1,16515,17,yellow,blue,yellow,498,1,0,4
Sl_305,2016-05-22,15:01:49,,,1,16980,18,green,green,green,463,1,1,3
Sl_305,2016-05-22,15:01:50,,,1,17630,19,yellow,blue,yellow,650,1,0,2
Sl_305,2016-05-22,15:01:50,,,1,18213,20,blue,red,blue,582,1,0,4
Sl_305,2016-05-22,15:01:51,,,1,18896,21,yellow,yellow,yellow,681,1,1,3
Sl_305,2016-05-22,15:01:51,,,1,19475,22,green,green,blue,578,0,1,1
Sl_305,2016-05-22,15:01:52,,,1,19580,23,blue,red,blue,103,1,0,2
Sl_305,2016-05-22,15:01:52,,,1,20720,24,yellow,blue,yellow,1139,1,0,4
Sl_305,2016-05-22,15:01:53,,,1,21803,25,red,red,red,1079,1,1,3
Sl_305,2016-05-22,15:01:54,,,1,22524,26,blue,blue,blue,720,1,1,1
Sl_305,2016-05-22,15:01:55,,,1,23179,27,yellow,red,yellow,651,1,0,2
Sl_305,2016-05-22,15:01:56,,,1,24229,28,red,blue,red,1049,1,0,4
Sl_305,2016-05-22,15:01:57,,,1,24846,29,yellow,red,yellow,616,1,0,4
Sl_305,2016-05-22,15:01:57,,,1,25448,30,blue,blue,blue,601,1,1,3
Sl_305,2016-05-22,15:01:58,,,1,26098,31,yellow,yellow,yellow,649,1,1,1
Sl_305,2016-05-22,15:01:59,,,1,26680,32,blue,red,blue,581,1,0,2
Sl_305,2016-05-22,15:01:59,,,1,27213,33,green,green,green,532,1,1,3
Sl_305,2016-05-22,15:02:00,,,1,27786,34,red,red,red,572,1,1,1
Sl_305,2016-05-22,15:02:00,,,1,28830,35,blue,green,blue,1044,1,0,2
Sl_305,2016-05-22,15:02:01,,,1,29764,36,red,yellow,red,933,1,0,4
Sl_305,2016-05-22,15:02:02,,,1,30368,37,yellow,green,yellow,602,1,0,4
Sl_305,2016-05-22,15:02:03,,,1,31173,38,red,red,red,804,1,1,3
Sl_305,2016-05-22,15:02:04,,,1,32046,39,blue,green,blue,872,1,0,2
Sl_305,2016-05-22,15:02:05,,,1,32564,40,yellow,blue,yellow,517,1,0,4
Sl_305,2016-05-22,15:02:05,,,1,33246,41,red,yellow,red,682,1,0,4
Sl_305,2016-05-22,15:02:06,,,1,33886,42,green,green,green,639,1,1,3
Sl_305,2016-05-22,15:02:06,,,1,34441,43,blue,blue,blue,554,1,1,1
Sl_305,2016-05-22,15:02:07,,,1,35036,44,yellow,green,yellow,592,1,0,2
Sl_305,2016-05-22,15:02:08,,,1,35707,45,red,yellow,red,670,1,0,4
Sl_305,2016-05-22,15:02:08,,,1,36469,46,yellow,blue,yellow,761,1,0,4
Sl_305,2016-05-22,15:02:09,,,1,37079,47,blue,red,blue,609,1,0,4
Sl_305,2016-05-22,15:02:10,,,1,37580,48,green,green,green,500,1,1,3
Sl_305,2016-05-22,15:02:10,,,1,38279,49,red,yellow,red,698,1,0,2
Sl_305,2016-05-22,15:02:11,,,1,38940,50,green,blue,blue,660,0,0,4
Sl_305,2016-05-22,15:02:11,,,1,39714,51,red,red,red,773,1,1,3
Sl_305,2016-05-22,15:02:12,,,1,40401,52,blue,blue,blue,687,1,1,1
Sl_305,2016-05-22,15:02:13,,,1,41146,53,yellow,green,yellow,745,1,0,2
Sl_305,2016-05-22,15:02:14,,,1,42486,54,red,red,red,1340,1,1,3
Sl_305,2016-05-22,15:02:15,,,1,43007,55,yellow,blue,yellow,521,1,0,2
Sl_305,2016-05-22,15:02:16,,,1,43581,56,red,red,red,573,1,1,3
Sl_305,2016-05-22,15:02:16,,,1,44196,57,yellow,yellow,yellow,615,1,1,1
Sl_305,2016-05-22,15:02:17,,,1,44750,58,red,blue,red,554,1,0,2
Sl_305,2016-05-22,15:02:17,,,1,45396,59,green,green,green,645,1,1,3
Sl_305,2016-05-22,15:02:18,,,1,45989,60,blue,blue,blue,593,1,1,1
Sl_305,2016-05-22,15:02:19,,,1,46580,61,green,yellow,green,589,1,0,2
