id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_105B_Eftermiddag,2015-02-27,16:32:41,1425051161657,3,235679,1,1,7,2,12,4,8,3,10,1,,"10,6",1,5.137
SI_105B_Eftermiddag,2015-02-27,16:32:57,1425051161657,3,247792,2,2,7,7,3,2,10,5,13,15,,"13,6",1,1.282
SI_105B_Eftermiddag,2015-02-27,16:33:09,1425051161657,3,260447,3,3,7,16,15,8,12,6,3,13,,"6,5",1,1.823
SI_105B_Eftermiddag,2015-02-27,16:33:22,1425051161657,3,272675,4,4,7,11,14,8,13,10,2,4,,"4,7",1,1.397
SI_105B_Eftermiddag,2015-02-27,16:33:34,1425051161657,3,284780,5,5,7,10,7,11,4,3,9,2,,"3,5",1,1.276
SI_105B_Eftermiddag,2015-02-27,16:33:46,1425051161657,3,297844,6,6,7,4,2,13,6,15,1,5,,"2,3",1,2.233
SI_105B_Eftermiddag,2015-02-27,16:33:59,1425051161657,3,310783,7,7,7,13,6,15,16,7,10,8,,"4,2",1,2.108
SI_105B_Eftermiddag,2015-02-27,16:34:12,1425051161657,3,323083,8,8,7,3,16,6,11,8,5,1,,"6,3",1,1.468
SI_105B_Eftermiddag,2015-02-27,16:34:25,1425051161657,3,337425,9,9,7,4,9,8,11,13,15,7,,"8,3",0,3.512
SI_105B_Eftermiddag,2015-02-27,16:34:39,1425051161657,3,351302,10,10,7,1,10,2,7,15,14,9,,"7,4",0,3.047
