id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_108B_Morgon,2015-03-02,12:34:59,1425296099513,2,156649,1,1,7,13,7,6,16,3,5,11,,"2,2",1,1.709
SI_108B_Morgon,2015-03-02,12:35:12,1425296099513,2,168866,2,2,7,5,16,15,8,4,7,13,,"5,1",1,1.214
SI_108B_Morgon,2015-03-02,12:35:24,1425296099513,2,181498,3,3,7,13,4,12,9,3,11,8,,"10,2",1,1.65
SI_108B_Morgon,2015-03-02,12:35:37,1425296099513,2,198559,4,4,7,12,11,1,13,4,14,3,,"6,5",1,6.071
SI_108B_Morgon,2015-03-02,12:35:54,1425296099513,2,210791,5,5,7,15,11,1,6,7,12,16,,"6,2",1,1.269
SI_108B_Morgon,2015-03-02,12:36:06,1425296099513,2,223660,6,6,7,7,5,2,1,16,9,13,,"13,7",1,1.906
SI_108B_Morgon,2015-03-02,12:36:19,1425296099513,2,236001,7,7,7,15,14,8,1,10,13,11,,"14,4",1,1.353
SI_108B_Morgon,2015-03-02,12:36:31,1425296099513,2,250129,8,8,7,15,11,1,3,6,16,9,,"7,1",1,3.149
SI_108B_Morgon,2015-03-02,12:36:45,1425296099513,2,262278,9,9,7,10,1,13,15,8,9,4,,"7,4",1,1.154
SI_108B_Morgon,2015-03-02,12:36:57,1425296099513,2,277304,10,10,7,13,2,11,7,1,14,3,,"7,4",1,4.066
