id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_112_Kväll,2015-03-09,22:24:18,1425936258204,4,382629,1,1,7,12,7,2,13,11,8,5,,"11,5",1,4.754
SI_112_Kväll,2015-03-09,22:24:33,1425936258204,4,394656,2,2,7,8,12,1,4,2,13,5,,"12,2",1,1.188
SI_112_Kväll,2015-03-09,22:24:45,1425936258204,4,409424,3,3,7,14,2,1,9,16,5,6,,"5,6",0,3.932
SI_112_Kväll,2015-03-09,22:25:00,1425936258204,4,421675,4,4,7,6,13,3,11,16,7,4,,"1,6",1,1.41
SI_112_Kväll,2015-03-09,22:25:12,1425936258204,4,435614,5,5,7,14,3,9,13,11,2,6,,"14,1",1,3.101
SI_112_Kväll,2015-03-09,22:25:26,1425936258204,4,447654,6,6,7,6,11,4,7,8,14,16,,"16,7",1,1.201
SI_112_Kväll,2015-03-09,22:25:38,1425936258204,4,459882,7,7,7,7,6,9,4,14,12,16,,"6,6",1,1.391
SI_112_Kväll,2015-03-09,22:25:51,1425936258204,4,472185,8,8,7,16,4,10,12,7,6,9,,"12,7",1,1.466
SI_112_Kväll,2015-03-09,22:26:03,1425936258204,4,484515,9,9,7,1,5,10,7,13,8,14,,"8,1",1,1.49
SI_112_Kväll,2015-03-09,22:26:15,1425936258204,4,497432,10,10,7,4,14,15,7,6,16,5,,"6,5",1,2.08
