id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_177,2015-10-12,22:41:49,1444682509071,2,130737,1,1,7,12,7,2,1,5,16,13,,"7,2",1,1.398
SI_177,2015-10-12,22:42:01,1444682509071,2,143359,2,2,7,5,13,9,8,12,6,15,,"1,7",1,1.469
SI_177,2015-10-12,22:42:14,1444682509071,2,155735,3,3,7,12,6,10,7,11,3,4,,"10,3",1,1.254
SI_177,2015-10-12,22:42:26,1444682509071,2,169818,4,4,7,3,13,6,12,7,15,4,,"7,5",1,2.957
SI_177,2015-10-12,22:42:40,1444682509071,2,182860,5,5,7,9,11,10,16,4,6,2,,"8,3",1,1.934
SI_177,2015-10-12,22:42:53,1444682509071,2,195586,6,6,7,16,10,5,4,7,11,8,,"10,2",1,1.597
SI_177,2015-10-12,22:43:06,1444682509071,2,208056,7,7,7,14,12,3,8,10,6,15,,"13,2",1,1.33
SI_177,2015-10-12,22:43:18,1444682509071,2,220846,8,8,7,16,13,3,15,4,14,2,,"13,2",0,1.664
SI_177,2015-10-12,22:43:31,1444682509071,2,234256,9,9,7,14,5,10,12,2,15,3,,"3,3",1,2.28
SI_177,2015-10-12,22:43:45,1444682509071,2,246675,10,10,7,9,5,2,6,14,16,1,,"1,7",1,1.29
