id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_267,2016-03-14,15:55:14,,,2,160059,1,1,7,7,15,12,2,11,14,5,,"7,7",1,1.523
SI_267,2016-03-14,15:55:27,,,2,173874,2,2,7,16,15,13,5,11,12,4,,"14,6",1,2.95
SI_267,2016-03-14,15:55:40,,,2,187700,3,3,7,12,11,10,16,15,8,13,,"16,4",1,2.805
SI_267,2016-03-14,15:55:54,,,2,200283,4,4,7,14,5,3,2,4,6,8,,"6,6",1,1.49
SI_267,2016-03-14,15:56:07,,,2,212854,5,5,7,4,13,11,14,2,10,5,,"2,5",1,1.505
SI_267,2016-03-14,15:56:19,,,2,225530,6,6,7,11,7,12,5,15,13,9,,"2,4",1,1.654
SI_267,2016-03-14,15:56:32,,,2,241069,7,7,7,1,11,6,8,5,15,2,,"6,2",1,4.44
SI_267,2016-03-14,15:56:48,,,2,256139,8,8,7,5,10,1,15,3,7,14,,"5,1",0,3.966
SI_267,2016-03-14,15:57:03,,,2,268492,9,9,7,13,12,5,11,10,7,9,,"3,6",1,1.263
SI_267,2016-03-14,15:57:15,,,2,281020,10,10,7,13,7,5,14,16,6,3,,"13,1",1,1.375
