id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_164_res,2015-06-09,07:39:04,1433828344581,1,18731,1,1,7,10,14,1,9,7,8,16,,"8,6",1,2.267
Sl_164_res,2015-06-09,07:39:17,1433828344581,1,32455,2,2,7,14,13,1,3,4,2,5,,"2,6",1,2.888
Sl_164_res,2015-06-09,07:39:31,1433828344581,1,47629,3,3,7,6,13,4,2,11,8,15,,"1,5",1,4.338
Sl_164_res,2015-06-09,07:39:46,1433828344581,1,60600,4,4,7,8,4,14,9,10,1,7,,"14,3",1,2.136
Sl_164_res,2015-06-09,07:39:59,1433828344581,1,73984,5,5,7,3,16,5,6,12,9,7,,"14,1",1,2.549
Sl_164_res,2015-06-09,07:40:12,1433828344581,1,87328,6,6,7,9,3,1,5,11,7,6,,"3,2",1,2.509
Sl_164_res,2015-06-09,07:40:26,1433828344581,1,100339,7,7,7,5,6,10,13,9,4,3,,"3,7",1,2.177
Sl_164_res,2015-06-09,07:40:39,1433828344581,1,113398,8,8,7,1,8,9,3,14,11,6,,"4,6",1,2.225
Sl_164_res,2015-06-09,07:40:52,1433828344581,1,126492,9,9,7,14,13,15,3,16,2,5,,"5,7",1,2.259
Sl_164_res,2015-06-09,07:41:05,1433828344581,1,140293,10,10,7,11,12,14,16,8,1,4,,"14,3",1,2.966
