id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_216,2015-11-12,12:39:19,1447328359280,5,529558,1,1,7,6,14,13,4,5,2,3,,"3,7",1,2.134
Sl_216,2015-11-12,12:39:32,1447328359280,5,541637,2,2,7,12,8,15,1,3,9,14,,"3,5",1,1.232
Sl_216,2015-11-12,12:39:44,1447328359280,5,556704,3,3,7,13,6,1,4,2,9,12,,"2,5",1,4.215
Sl_216,2015-11-12,12:39:59,1447328359280,5,569421,4,4,7,14,2,12,9,3,15,13,,"14,4",1,1.867
Sl_216,2015-11-12,12:40:12,1447328359280,5,582696,5,5,7,9,13,5,11,10,14,7,,"11,4",1,2.432
Sl_216,2015-11-12,12:40:25,1447328359280,5,594855,6,6,7,8,9,13,10,6,11,14,,"13,3",1,1.309
Sl_216,2015-11-12,12:40:37,1447328359280,5,607263,7,7,7,5,3,8,12,7,15,13,,"10,3",1,1.563
Sl_216,2015-11-12,12:40:49,1447328359280,5,619272,8,8,7,5,7,15,14,8,6,9,,"2,6",1,1.154
Sl_216,2015-11-12,12:41:02,1447328359280,5,631429,9,9,7,6,7,16,15,2,4,3,,"3,7",1,1.299
Sl_216,2015-11-12,12:41:14,1447328359280,5,647771,10,10,7,9,10,13,7,5,3,15,,"7,4",1,5.483
