id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_290,2016-04-11,10:40:49,,,3,266085,1,1,7,3,5,10,15,1,7,9,,"11,2",1,1.889
Sl_290,2016-04-11,10:41:02,,,3,278502,2,2,7,8,2,5,16,10,11,7,,"2,2",1,1.517
Sl_290,2016-04-11,10:41:14,,,3,290745,3,3,7,8,5,15,11,13,16,10,,"8,7",1,1.336
Sl_290,2016-04-11,10:41:26,,,3,303313,4,4,7,4,3,1,7,11,13,5,,"2,4",1,1.666
Sl_290,2016-04-11,10:41:39,,,3,321836,5,5,7,3,4,2,11,1,14,9,,"9,7",1,7.635
Sl_290,2016-04-11,10:41:57,,,3,334661,6,6,7,1,4,14,3,12,11,10,,"4,2",1,1.939
Sl_290,2016-04-11,10:42:10,,,3,347366,7,7,7,12,15,1,11,6,7,5,,"15,2",1,1.816
Sl_290,2016-04-11,10:42:23,,,3,360163,8,8,7,9,7,8,16,4,14,2,,"15,3",1,1.893
Sl_290,2016-04-11,10:42:36,,,3,373682,9,9,7,6,16,11,3,5,1,8,,"16,4",1,2.612
Sl_290,2016-04-11,10:42:49,,,3,389205,10,10,7,12,11,9,10,14,6,16,,"12,2",1,4.634
