"t0","order_of_test","time_start_battery","order_in_test","word_pool","word","endcoding","recall_session","remember","confidence","correct","ID","time","t0_absolute","Woman","SD"
1424412517209,3,311571,1,1,1,"Encoded",1,0,NA,0,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,2,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,3,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,4,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,5,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,6,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,7,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,8,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,9,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,10,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,11,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,12,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,13,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,14,"Encoded",1,1,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,15,"Encoded",1,0,NA,0,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,16,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,17,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,18,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,19,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,20,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
1424412517209,3,311571,1,1,21,"Dummy",1,0,NA,1,"101",1,NA,1,"Control"
