"t0","order_of_test","time_start_battery","order_in_test","order","no_grids","grid1","grid2","grid3","grid4","grid5","grid6","grid7","grid8","pres_grid","correct","response_time","ID","time","t0_absolute","Woman","SD"
1424412399188,2,158342,1,1,6,8,11,10,13,14,12,NA,NA,"8,1",1,1.301,"101",1,NA,1,"Control"
1424412399188,2,163153,2,2,2,16,10,NA,NA,NA,NA,NA,NA,"16,1",1,0.927,"101",1,NA,1,"Control"
1424412399188,2,174158,3,3,6,4,2,3,9,16,12,NA,NA,"8,4",1,1.441,"101",1,NA,1,"Control"
1424412399188,2,185592,4,4,6,8,6,3,7,11,5,NA,NA,"6,1",0,1.871,"101",1,NA,1,"Control"
1424412399188,2,191852,5,5,2,11,12,NA,NA,NA,NA,NA,NA,"12,2",1,2.394,"101",1,NA,1,"Control"
1424412399188,2,197310,6,6,2,10,12,NA,NA,NA,NA,NA,NA,"12,2",1,1.599,"101",1,NA,1,"Control"
1424412399188,2,209009,7,7,6,1,7,11,3,10,14,NA,NA,"14,3",1,2.145,"101",1,NA,1,"Control"
1424412399188,2,214127,8,8,2,7,4,NA,NA,NA,NA,NA,NA,"2,2",1,1.262,"101",1,NA,1,"Control"
1424412399188,2,219055,9,9,2,7,9,NA,NA,NA,NA,NA,NA,"7,1",1,1.074,"101",1,NA,1,"Control"
1424412399188,2,231828,10,10,6,8,9,6,13,1,12,NA,NA,"9,2",1,3.219,"101",1,NA,1,"Control"
1424412399188,2,236805,11,11,2,7,4,NA,NA,NA,NA,NA,NA,"4,2",1,1.119,"101",1,NA,1,"Control"
1424412399188,2,248862,12,12,6,9,13,4,3,15,12,NA,NA,"7,1",1,2.509,"101",1,NA,1,"Control"
1424431735515,2,145886,1,1,2,2,16,NA,NA,NA,NA,NA,NA,"2,1",1,0.889,"101",2,NA,1,"Control"
1424431735515,2,150924,2,2,2,7,3,NA,NA,NA,NA,NA,NA,"7,2",1,1.177,"101",2,NA,1,"Control"
1424431735515,2,162099,3,3,6,15,14,11,5,3,12,NA,NA,"14,4",1,1.663,"101",2,NA,1,"Control"
1424431735515,2,167138,4,4,2,8,16,NA,NA,NA,NA,NA,NA,"12,1",1,1.193,"101",2,NA,1,"Control"
